,kor,eng
1822,그녀는 정숙한 여자가 되지 못합니다 .,She is not a graceful woman .
1823,그녀는 정숙한 여자예요 .,She is a faithful woman .
1824,그녀는 정신이 오락가락합니다 .,Her mind comes on and off .
1825,그녀는 정신적 육체적 장애를 갖고 있습니다 .,She has psychological and physical disabilities .
1826,그녀는 정신적으로 그리고 육체적으로 약해졌습니다 .,She has gotten weak mentally and physically .
1827,그녀는 정신적으로 불안한 상태입니다 .,She is mentally unbalanced .
1828,그녀는 정오가 되어 잠에서 깨었습니다 .,She woke up at noon .
1829,그녀는 정해진 시간을 지키기를 원해요 .,She wants to keep the designated time .
1830,그녀는 정확한 시간에 일을 마무리하며 지연시키지 않습니다 .,She doesn t delay anything because she finishes the work before the deadline .
1831,그녀는 제 과거에 대해 두서없이 말했어요 .,She made a random remark about my past .
1832,그녀는 제 대학 동창입니다 .,She is my alumna .
1833,그녀는 제 등을 두들겼어요 .,She patted me on the back .
1834,그녀는 제 발표가 듣기 좋았다고 해요 .,She said my speech was good to listen to .
1835,그녀는 제 시어머니이십니다 .,She is my mother in law .
1836,그녀는 제 아내의 친구의 어머니십니다 .,She is the mother of my wife s friend .
1837,그녀는 제 여자입니다 그러니 건드리지 마세요 .,She s mine so do not touch her .
1838,그녀는 제 와이프의 친구입니다 .,She is a friend of my wife .
1839,그녀는 제 직장 상사의 친구분이었어요 .,She was a friend of my boss .
1840,그녀는 제 친구 중 한 사람입니다 .,She is a friend of mine .
1841,그녀는 제 학교 친구입니다 .,She is my fellow student .
1842,그녀는 제가 그녀의 아버지를 만나게 했어요 .,She made me meet her father .
1843,그녀는 제가 두통이 있었을 때 캡슐 약을 주었어요 .,She gave me capsules when I had a headache .
1844,그녀는 제가 살아가는 이유입니다 .,She is the reason why I live .
1845,그녀는 제가 아마도 일주일은 입원해야 된다고 말했어요 .,She said that I might need to be hospitalized for a week .
1846,그녀는 제가 아팠을 때 가루약을 주었어요 .,She gave me powdered medicine when I was sick .
1847,그녀는 제가 아팠을 때 시럽제를 주었어요 .,She gave me syrup when I was sick .
1848,그녀는 제가 어떤 얘기라도 털어놓을 수 있는 친구입니다 .,She is a friend that I can tell anything about .
1849,그녀는 제가 이 일을 이틀 간 해주길 원합니다 .,She want me to do this job for two days .
1850,그녀는 제가 일하는 도중에 불쑥 들어옵니다 .,She pops in while I m working .
1851,그녀는 제가 제일 좋아하고 예뻐하는 동생이랍니다 .,She is my favorite sister who I like .
1852,그녀는 제게 경멸하는 표정을 지었어요 .,She gave me a scornful look .
1853,그녀는 제게 적개심을 가지고 있어요 .,She has animosity against me .
1854,그녀는 제게 정말 친절하게 대해줬어요 .,She treated me very kindly .
1855,그녀는 제과점에 케이크를 사러 갔습니다 .,She went to a bakery to buy some cakes .
1856,그녀는 제멋대로 굴면서 날 힘들게 했어 .,She gave me a hard time by being arbitrary .
1857,그녀는 제인이 그와 친하기를 원하지 않는다 .,She does not want Jane to be familiar with him .
1858,그녀는 조건을 마음에 들어 하지 않아요 .,She wasn t satisfied with the conditions .
1859,그녀는 조국을 위해 열심히 일합니다 .,She works hard for her country .
1860,그녀는 조금 뚱뚱한 편입니다 .,She s a little fat .
1861,그녀는 조용하고 인내심이 강하고 친절하며 언제나 웃고 있죠 .,She is quiet patient friendly and always has a smile .
1862,그녀는 좀처럼 다른 사람들에게 마음을 열지 않아요 .,She hardly opens up to others .
1863,그녀는 좀처럼 본심을 말하지 않은 사람이에요 .,She doesn t express what she s really thinking .
1864,그녀는 종업원들과 구별되기를 원했어요 .,She wanted to be distinguished from the waiters .
1865,그녀는 종일 누워서 절대 안정을 취하고 있습니다 .,She is lying down all day and taking a good rest .
1866,그녀는 종일 티비를 보면서 욕을 해 .,She swears while watching TV the whole day .
1867,그녀는 좋은 몸매를 가졌어요 .,She has a good shape .
1868,그녀는 좋은 성격을 가진 소녀예요 .,She is a girl of good character .
1869,그녀는 좋은 수의사라고 평판이 나 있습니다 .,She is a veterinarian of good reputation .
1870,그녀는 좋은 책을 써서 명성을 얻었습니다 .,She established her fame by writing a good book .
1871,그녀는 주말 내내 좋아하는 책도 읽지 않고 잠만 잡니다 .,She just sleeps during the whole weekends not reading my favorite books .
1872,그녀는 주말에 아팠습니다 .,She was sick during the weekend .
1873,그녀는 주말에 잘 쉬었습니다 .,She rested well during the weekend .
1874,그녀는 주말에는 손녀와 공원을 산책합니다 .,She takes a walk with her grand daughter on weekends .
1875,그녀는 주말에는 하루종일 게임을 해요 .,She plays games all day long during the weekends .
1876,그녀는 주말을 생각하며 하루하루를 살아갑니다 .,She bears every day thinking of the weekend .
1877,그녀는 주식을 신청하고 싶어 합니다 .,She would like to apply for shares .
1878,그녀는 주요소에서 주유하는 중이에요 .,She is fueling up at a gas station .
1879,그녀는 주위에 도움을 청하려 했지만 너무 늦은 밤이었어요 .,She wanted to ask for help but it was too late at night .
1880,그녀는 주중에 휴가 중일 것입니다 .,She must be on her vacation during the weekdays .
1881,그녀는 죽기 전 협박 전화를 많이 받았어요 .,She had received a lot of threatening calls before she died .
1882,그녀는 죽은 듯이 조용합니다 .,She s as quiet as a mouse .
1883,그녀는 줄리엣을 위한 옷을 사고 밤에는 동화책을 읽어줬어요 .,She bought some new clothes for Juliet and read her storybooks at night .
1884,그녀는 중간고사에서 충격적인 성적을 받았습니다 .,She receive shocking grades on the midterm exam .
1885,그녀는 중국인이 아닐지도 몰라 .,She might not a Chinese .
1886,그녀는 중요한 순간까지 아무 얘기를 하지 않았어요 .,She did not say anything until the important moment .
1887,그녀는 중학교 3년 동안 매일 아침 나온 걸어서 등교했습니다 .,For three years every morning we went to school together on foot .
1888,그녀는 즉석에서 그 회사에 취직되었습니다 .,She was hired on the spot by the company .
1889,그녀는 즉흥적으로 희극 대화를 했어요 .,She improvised a comic dialogue .
1890,그녀는 지갑에 가족사진을 지니고 다닌다 .,She keeps her family picture in her wallet .
1891,그녀는 지구상에서 가장 힘세고 귀여운 여자야 .,She is the most powerful cute woman on the Earth .
1892,그녀는 지금 극도로 흥분해 있어요 .,She is frantic now .
1893,그녀는 지금 근무 중입니다 .,She s on duty now .
1894,그녀는 지금 기분이 좋아요 .,She is in a good mood .
1895,그녀는 지금 너무 바빠서 전화를 받을 수 없어요 .,She is too busy to get the phone right now .
1896,그녀는 지금 너무 힘들어해요 .,She is having hard times right now .
1897,그녀는 지금 많이 아파 보여요 .,She looks so sick right now .
1898,그녀는 지금 매우 바쁜데요 .,She can t be disturbed .
1899,그녀는 지금 매우 평온한 상태입니다 .,She is at peace now .
1900,그녀는 지금 멕시코에 있다고 들었어요 .,I heard she is in Mexico right now .
1901,그녀는 지금 바로 사무실에서 나가셨는데요 .,She went out of the office just now .
1902,그녀는 지금 부재중이십니다 .,She is not available right now .
1903,그녀는 지금 생리 중이에요 .,She is having her period .
1904,그녀는 지금 여기 안 계십니다 .,She is not here at the moment .
1905,그녀는 지금 외출 중이십니다 .,She is out at the moment .
1906,그녀는 지금 이곳에 있지 않습니다 .,She s not here right now .
1907,그녀는 지금 일하고 있습니다 .,She is working now .
1908,그녀는 지금 자리에 없고 한 시간 뒤에 옵니다 .,She is not here now and is coming back after an hour .
1909,그녀는 지금 주방에 있습니다 .,She s in the kitchen .
1910,그녀는 지금 집에서 누구를 만나고 있나요 ?,Who is she meeting in her place now ?
1911,그녀는 지금 출장 중입니다 .,She is out of town .
1912,그녀는 지금 치마를 입고 있어요 .,She s putting on the skirt now .
1913,그녀는 지금 카페에 있습니다 .,She is at the cafe now .
1914,그녀는 지금 회의에 들어갔는데요 .,She s in the meeting now .
1915,그녀는 지금까지 많은 골동품을 수집했어요 .,She has collected many antiques so far .
1916,그녀는 지금은 당신을 사랑한다고 말했어요 .,She told you that she loves you now .
1917,그녀는 지나칠 정도로 동정심이 많습니다 .,She is a bleeding heart .
1918,그녀는 지난 여름 방학 때 인천 바다에 갔었어 .,She went to Incheon sea during last summer vacation .
1919,그녀는 지난 월요일에 이사를 하였어요 .,She moved out last Monday .
1920,그녀는 지난 주 홍콩에 출장을 왔었습니다 .,She came to Hong Kong for her work last week .
1921,그녀는 지난 토요일에 음악회에 갔습니다 .,She went to a concert last Saturday .
1922,그녀는 지난번에 500을 인보이스에서 공제해줬어야 하는데 공제하지 않았어 .,She had to deduct 500 from the invoice but did not .
1923,그녀는 지난주 월요일에 열이 떨어졌습니다 .,Her fever faded away on Monday .
1924,그녀는 지난주에 막 돌아왔어요 .,She just got back last week .
1925,그녀는 지난주에 미국에 왔었습니다 .,She came to the United States last week .
1926,그녀는 지는 걸 싫어해요 .,She hates to lose .
1927,그녀는 지루해서 나무에서 내려 올 것이에요 .,She will be bored and come down from the tree .
1928,그녀는 지성과 미모를 겸비했어요 .,She has both brains and beauty .
1929,그녀는 지원자로서 건강한 몸과 신체 정신을 갖고 있습니다 .,She has a health body and mind as a candidate .
1930,그녀는 지적이고 똑똑한 사람이에요 .,She s an intelligent and smart person .
1931,그녀는 지적이고 예의가 바라요 .,She is intelligent and polite .
1932,그녀는 지팡이에 겁을 먹었다는 것을 알았다 .,She realized that she got scared by a wand .
1933,그녀는 지하철을 타고 공원에 갑니다 .,She goes to a park by subway .
1934,그녀는 직원들의 반대하는 의견도 들어보고 생각을 해보아야 해요 .,She has to think with the employees opposing statements .
